sehir,isim,ilce,adres
İstanbul Özel Konaklamalar,"
Taksim Lounge Hostel
",> Beyoglu,Katip Mustafa Çelebi Mh. Mucadele Çıkmazı No:5
İstanbul Oda ve Kahvaltı / Pansiyon,"
Istanbul New City Hotel
",> Sisli,Bozkurt Mah. Esref Efendi Sok. No:52 Pangalti Sisli
İstanbul Otelleri,"
Bade Hotel Sisli
",> Sisli,Abide-i Hurriyet Cad. No:179
İstanbul Otelleri,"
Maya Otel
",> Grand Bazaar,"Fevziye Cad. No:5 Şehzadebaşı, Fatih"
İstanbul Otelleri,"
Rixos Taksim Istanbul
",> Sisli,"İnönü Mah. Yedi Kuyular Cad. Harbiye Çayırı Sok. No:4 Taksim, Beyoğlu"
İstanbul Otelleri,"
Divan Istanbul
",> Sisli,Asker Ocagi Caddesi No:1
İstanbul Otelleri,"
Gönen Otel
",> Grand Bazaar,"Fethi Bey Cad. Zeynep Kamil Sok. No:56 Laleli, Fatih"
İstanbul Otelleri,"
Bosphorus Palace Hotel
",> Uskudar,Yalıboyu Caddesi No 64
İstanbul Otelleri,"
The Marmara Taksim
",> Beyoglu,Taksim Square
İstanbul Otelleri,"
Berr Otel
",> Fener & Balat,"Akşemsettin Mah. Akdeniz Cad. No:78 Fatih Merkez, Fatih"
İstanbul Otelleri,"
Grand Durmaz Hotel
",> Grand Bazaar,Ataturk Bulvari Kemalpasa Mah. No:4
İstanbul Oda ve Kahvaltı / Pansiyon,"
Saruhan Otel
",> Sultanahmet,Küçük Ayasofya Mah. Cinci Meydanı Sok. No:34
İstanbul Otelleri,"
Senator Hotel Taksim
",> Beyoglu,Abdulhak Hamit Caddesi No 9
İstanbul Otelleri,"
Seven Hills Hotel
",> Sultanahmet,Tevkifhane Sokak No 8/A
İstanbul Otelleri,"
Karakoy Port Hotel
",> Karakoy,Tophane Iskele cad.No.10
İstanbul Oda ve Kahvaltı / Pansiyon,"
Rumours Inn
",> Sultanahmet,Kucuk Ayasofya Mah. Ucler Hamami Sok. No: 6
İstanbul Otelleri,"
Hotel Sphendon
",> Sultanahmet,"Eminonu, Akbiyik Degirmeni Sk, 50"
İstanbul Otelleri,"
Yigitalp Hotel
",> Grand Bazaar,38 Cukur Cesme Sok
İstanbul Otelleri,"
Gezi Hotel Bosphorus
",> Beyoglu,Mete Cad. No 34
İstanbul Otelleri,"
İstanbul Hostel
",> Sultanahmet,"Kutlugün Sok. No:35 Sultanahmet, Fatih"
İstanbul Otelleri,"
Ares Hotel Sultanahmet
",> Sultanahmet,"Alemdar Mah. İncili Cavuş Sok. No:35 Sultanahmet, Fatih"
İstanbul Otelleri,"
Chambers Of The Boheme
",> Beyoglu,Küçük Parmak Kapı Sok. No:13
İstanbul Otelleri,"
Kafkas Hotel İstanbul
",> Sultanahmet,"Hüdavendigar Cad. No:19 Sirkeci, Fatih"
İstanbul Otelleri,"
Hotel Soliman
",> Sultanahmet,Hocapasa Mah. Ebussuud Cad. No 63/67
İstanbul Oda ve Kahvaltı / Pansiyon,"
Ortakoy Pasha Konagi Hotel
",> Besiktas,Ortakoy Dereboyu Cd. Bulgurcu Sk. No : 4
İstanbul Oda ve Kahvaltı / Pansiyon,"
City Hotel
",> Fener & Balat,"Sofular Mah. Vatan Cad. Simitçi Şakir Sok. No:36 Akdeniz, Fatih"
